City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Itarema,BR,79.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,West Bay,KY,87.87,scattered clouds,19.3667,-81.4167,Calypso Cove
16,Siyabuswa,ZA,77.32,broken clouds,-25.1132,29.0445,Survivor Africa Game Lodge
22,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
23,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
27,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
28,Hilo,US,83.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Navolato,MX,86.63,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
30,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
43,Baiao,BR,82.65,light rain,-2.7906,-49.6717,Município de Baião
49,San Vicente,AR,78.22,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
51,Atuona,PF,77.09,clear sky,-9.8,-139.0333,Villa Enata
55,Butaritari,KI,80.85,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,Faanui,PF,77.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Hithadhoo,MV,80.55,broken clouds,-0.6,73.0833,Scoop Guest House
61,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
69,Lorengau,PG,82.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
79,Guasdualito,VE,86.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
81,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
84,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
86,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
88,Narrabri,AU,75.52,few clouds,-30.3167,149.7833,Crossroads Hotel
89,Kavaratti,IN,80.53,few clouds,10.5669,72.642,Green leaf
93,Namatanai,PG,81.63,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
106,Cozumel,MX,83.95,moderate rain,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
107,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
121,Vaini,TO,77.07,overcast clouds,-21.2,-175.2,Keleti Beach Resort
128,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
132,Sao Filipe,CV,77.99,overcast clouds,14.8961,-24.4956,Hotel Xaguate
136,Puerto Escondido,MX,84.67,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
142,Trairi,BR,79.63,scattered clouds,-3.2778,-39.2689,janelas do mar
147,Cairns,AU,79.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
148,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
149,Iracoubo,GF,80.73,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
151,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
157,Nelson Bay,AU,75.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
167,Vanimo,PG,78.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
169,Hambantota,LK,77.23,overcast clouds,6.1241,81.1185,Bungalow 63
173,Oeiras Do Para,BR,83.59,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
180,Giyani,ZA,82.69,clear sky,-23.3025,30.7187,Kulani Country Lodge
201,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
204,Cravo Norte,CO,83.26,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
205,Ouro Preto Do Oeste,BR,87.82,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
206,Princeton,US,81.01,broken clouds,25.5384,-80.4089,American Best Inn
208,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
215,Buenos Aires,AR,89.49,overcast clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
216,Chabahar,IR,78.04,few clouds,25.2919,60.643,هتل گدروشیا
234,La Plata,AR,89.04,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
235,Kloulklubed,PW,84.04,broken clouds,7.0419,134.2556,Storyboard Beach Resort
240,Warri,NG,77.85,overcast clouds,5.5167,5.75,GT Guesthouse
241,Eyl,SO,79.59,light rain,7.9803,49.8164,EYL AQUE SYSTEM
254,Solola,GT,76.95,moderate rain,14.7667,-91.1833,Posada Don Rodrigo
259,Capitao Poco,BR,75.88,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
260,Tucurui,BR,80.13,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
262,Cururupu,BR,77.47,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
266,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
272,Balabac,PH,79.18,moderate rain,7.9868,117.0645,Batalla’s Lodging House
273,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
290,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
295,Miranda,CO,84.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
307,Kavieng,PG,82.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
313,Itaituba,BR,82.56,light rain,-4.2761,-55.9836,Hotel Campos
314,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
318,Tecoanapa,MX,84.16,overcast clouds,16.5167,-98.75,Hotel Manglares
322,Lompoc,US,76.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
323,Eirunepe,BR,83.23,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
326,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort
332,Sao Jose Da Tapera,BR,82.18,overcast clouds,-9.5583,-37.3811,Pousada Felicia
335,Tual,ID,82.44,light rain,-5.6667,132.75,Grand Vilia Hotel
336,Black River,JM,83.26,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
340,San Policarpo,PH,78.21,moderate rain,12.1791,125.5072,Agapita M. Nicart
346,Ballina,AU,76.78,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
352,Neopolis,BR,76.35,broken clouds,-10.32,-36.5794,Hotel São Francisco
353,Pandan,PH,78.35,overcast clouds,14.0453,124.1694,Bonifacio Lodge
360,Upanema,BR,82.62,overcast clouds,-5.6419,-37.2578,Hotel Central de Upanema
362,Lodwar,KE,83.17,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
365,Waingapu,ID,78.76,light rain,-9.6567,120.2641,Pondok Wisata Elim
366,Isangel,VU,80.71,clear sky,-19.55,169.2667,Tanna Lodge
368,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
375,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
379,Lazaro Cardenas,MX,83.37,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
384,San Rafael,AR,87.89,broken clouds,-34.6177,-68.3301,Hotel San Rafael
388,Kieta,PG,81.01,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
