City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-11-19 18:03:37,-21.2,-175.2,76.77,74,20,8.52
1,Punta Arenas,CL,2022-11-19 18:03:38,-53.15,-70.9167,53.71,35,20,34.52
2,Kapaa,US,2022-11-19 18:03:38,22.0752,-159.319,76.1,86,20,17.27
3,Cabo San Lucas,MX,2022-11-19 18:03:39,22.8909,-109.9124,80.62,63,75,2.3
4,Zhezkazgan,KZ,2022-11-19 18:03:39,47.8043,67.7144,30.11,70,100,1.95
5,Paamiut,GL,2022-11-19 18:03:40,61.994,-49.6678,25.36,87,94,6.98
6,New Norfolk,AU,2022-11-19 18:02:00,-42.7826,147.0587,55.92,90,100,2.48
7,Ushuaia,AR,2022-11-19 18:01:48,-54.8,-68.3,52.03,49,33,10.96
8,Georgetown,MY,2022-11-19 17:59:18,5.4112,100.3354,78.89,94,40,2.3
9,Sept-Iles,CA,2022-11-19 17:59:02,50.2001,-66.3821,26.06,65,40,8.05
10,Bredasdorp,ZA,2022-11-19 18:01:41,-34.5322,20.0403,59.41,71,1,7.38
11,Dikson,RU,2022-11-19 18:01:58,73.5069,80.5464,-16.2,99,62,3.24
12,Cayenne,GF,2022-11-19 18:00:08,4.9333,-52.3333,87.84,58,90,11.5
13,Grand-Lahou,CI,2022-11-19 18:03:41,5.1367,-5.0242,79.07,77,40,3.51
14,Atuona,PF,2022-11-19 18:03:42,-9.8,-139.0333,76.84,74,28,10.29
15,Las Vegas,US,2022-11-19 17:58:53,36.175,-115.1372,52.61,21,0,7.0
16,Presidente Epitacio,BR,2022-11-19 18:03:42,-21.7633,-52.1156,96.42,24,0,8.37
17,Beringovskiy,RU,2022-11-19 18:03:43,63.05,179.3167,11.25,82,100,15.79
18,Homer,US,2022-11-19 18:03:43,59.6425,-151.5483,39.79,80,40,10.0
19,Castro,BR,2022-11-19 18:01:59,-24.7911,-50.0119,77.58,41,0,0.63
20,Jamestown,US,2022-11-19 18:00:48,42.097,-79.2353,27.18,46,72,11.99
21,Rikitea,PF,2022-11-19 18:01:45,-23.1203,-134.9692,70.32,69,92,10.56
22,Kushima,JP,2022-11-19 18:03:44,31.4583,131.2333,59.63,92,100,7.72
23,Leningradskiy,RU,2022-11-19 18:03:44,69.3833,178.4167,-10.46,98,64,8.72
24,Bluff,NZ,2022-11-19 18:01:15,-46.6,168.3333,51.84,94,59,8.57
25,Pereslavl-Zalesskiy,RU,2022-11-19 18:03:45,56.7393,38.8563,24.55,92,100,12.77
26,Sabang,ID,2022-11-19 18:03:46,5.8933,95.3214,81.46,78,100,16.75
27,Chenzhou,CN,2022-11-19 18:03:46,25.8,113.0333,58.55,94,90,1.25
28,Bolshaya Dzhalga,RU,2022-11-19 18:03:47,45.9695,42.6966,53.71,79,100,12.55
29,Qaanaaq,GL,2022-11-19 18:02:07,77.484,-69.3632,-6.05,60,50,7.83
30,Lebu,CL,2022-11-19 18:03:47,-37.6167,-73.65,58.62,60,69,17.22
31,Krasnokamsk,RU,2022-11-19 18:03:47,58.0802,55.7541,1.56,97,28,1.41
32,Los Llanos De Aridane,ES,2022-11-19 18:01:32,28.6585,-17.9182,67.75,69,75,20.71
33,Bundaberg,AU,2022-11-19 18:03:48,-24.85,152.35,75.22,81,8,5.99
34,Hobyo,SO,2022-11-19 18:03:48,5.3505,48.5268,81.48,73,3,11.34
35,Monzon,ES,2022-11-19 18:03:49,41.9108,0.1941,49.77,58,1,11.86
36,Mataura,NZ,2022-11-19 18:01:46,-46.1927,168.8643,52.81,90,92,2.46
37,Punta Alta,AR,2022-11-19 18:03:50,-38.8759,-62.0736,90.54,30,2,4.29
38,Port Elizabeth,ZA,2022-11-19 18:02:47,-33.918,25.5701,63.1,89,0,4.0
39,Ribeira Grande,PT,2022-11-19 18:01:54,38.5167,-28.7,64.8,94,75,13.8
40,Sayyan,YE,2022-11-19 18:03:50,15.1718,44.3244,54.54,34,4,3.69
41,Kindu,CD,2022-11-19 18:03:51,-2.95,25.95,71.06,96,97,1.21
42,Nandigama,IN,2022-11-19 18:03:51,16.7833,80.3,64.83,67,83,4.34
43,Longyearbyen,SJ,2022-11-19 18:01:10,78.2186,15.6401,37.24,87,75,11.5
44,Saint-Philippe,RE,2022-11-19 18:01:40,-21.3585,55.7679,74.79,76,45,8.52
45,Touros,BR,2022-11-19 18:04:52,-5.1989,-35.4608,83.19,66,97,14.05
46,Bethel,US,2022-11-19 18:01:39,41.3712,-73.414,40.46,51,1,4.0
47,Lyubim,RU,2022-11-19 18:04:52,58.3625,40.6843,20.73,78,5,8.43
48,Kahului,US,2022-11-19 18:00:07,20.8947,-156.47,79.84,85,20,8.99
49,Avarua,CK,2022-11-19 18:04:53,-21.2078,-159.775,75.25,69,47,8.05
50,Tomatlan,MX,2022-11-19 18:04:53,19.9333,-105.25,86.38,54,66,3.94
51,Hermanus,ZA,2022-11-19 18:04:54,-34.4187,19.2345,61.81,75,1,6.49
52,Kaitangata,NZ,2022-11-19 18:01:38,-46.2817,169.8464,52.12,96,100,4.07
53,Pacific Grove,US,2022-11-19 18:04:54,36.6177,-121.9166,64.45,62,0,4.61
54,Lydenburg,ZA,2022-11-19 18:04:55,-25.0978,30.4597,68.83,55,95,1.81
55,Vila Do Maio,CV,2022-11-19 18:04:55,15.1333,-23.2167,79.59,68,93,19.04
56,Nouadhibou,MR,2022-11-19 18:04:56,20.931,-17.0347,71.31,72,1,27.2
57,Quatre Cocos,MU,2022-11-19 18:04:56,-20.2078,57.7625,71.1,66,5,6.82
58,Busselton,AU,2022-11-19 18:01:36,-33.65,115.3333,52.81,88,22,7.27
59,Oroquieta,PH,2022-11-19 18:04:57,8.4858,123.8044,76.17,95,100,1.3
60,Nizwa,OM,2022-11-19 18:04:57,22.9333,57.5333,75.29,36,0,2.59
61,Kuusamo,FI,2022-11-19 18:04:58,65.9667,29.1833,24.84,93,100,2.3
62,Lixourion,GR,2022-11-19 18:04:58,38.2019,20.4314,69.8,88,20,16.11
63,Coxim,BR,2022-11-19 18:00:05,-18.5067,-54.76,105.42,14,1,7.38
64,Lorengau,PG,2022-11-19 18:04:59,-2.0226,147.2712,80.92,71,99,7.61
65,Provideniya,RU,2022-11-19 18:01:47,64.3833,-173.3,26.58,83,100,6.17
66,Kavieng,PG,2022-11-19 18:01:50,-2.5744,150.7967,82.02,70,69,9.42
67,Cherskiy,RU,2022-11-19 18:02:52,68.75,161.3,-9.49,97,100,12.93
68,Victoria,HK,2022-11-19 18:01:22,22.2855,114.1577,77.18,88,99,5.01
69,Abu Dhabi,AE,2022-11-19 18:02:53,24.4667,54.3667,80.71,72,0,3.44
70,Pouebo,NC,2022-11-19 18:05:00,-20.4,164.5667,72.52,85,31,5.5
71,Nyurba,RU,2022-11-19 18:05:00,63.2842,118.3319,1.87,93,100,8.12
72,Hirara,JP,2022-11-19 18:05:00,24.8,125.2833,76.05,74,0,4.12
73,Souillac,MU,2022-11-19 18:02:44,-20.5167,57.5167,73.29,70,8,6.67
74,Raudeberg,NO,2022-11-19 18:05:01,61.9875,5.1352,35.96,58,6,4.61
75,Dejen,ET,2022-11-19 18:05:01,10.1667,38.1333,56.95,40,59,4.76
76,Hobart,AU,2022-11-19 17:57:05,-42.8794,147.3294,56.26,96,100,0.0
77,Port Augusta,AU,2022-11-19 18:05:02,-32.5,137.7667,57.99,56,44,12.55
78,Yanacancha,PE,2022-11-19 18:05:03,-10.2411,-76.6456,54.9,39,100,8.32
79,Airai,TL,2022-11-19 18:05:03,-8.9266,125.4092,61.97,95,100,1.52
80,Mount Isa,AU,2022-11-19 18:05:03,-20.7333,139.5,74.97,78,100,6.91
81,Puerto Ayora,EC,2022-11-19 18:02:03,-0.7393,-90.3518,71.55,92,99,10.0
82,Yellowknife,CA,2022-11-19 17:57:28,62.456,-114.3525,14.56,79,75,8.05
83,Vostok,RU,2022-11-19 18:01:37,46.4856,135.8833,22.53,90,100,5.41
84,Richards Bay,ZA,2022-11-19 18:05:04,-28.783,32.0377,69.37,89,100,18.03
